month,member_casual,total_rides
January,casual,16678
January,member,81132
February,casual,19202
February,member,86657
March,casual,60293
March,member,143032
April,casual,75389
April,member,175762
May,casual,123086
May,member,208431
June,casual,189055
June,member,246666
July,casual,431672
July,member,579118
August,casual,224377
August,member,305053
September,casual,211820
September,member,312879
October,casual,156748
October,member,282288
November,casual,67571
November,member,171972
December,casual,27632
December,member,99163