member_casual,day_of_week,season,total_rides
casual,Sunday,Spring,38054
casual,Sunday,Summer,135053
casual,Sunday,Autumn,80864
casual,Sunday,Winter,8813
casual,Monday,Spring,32201
casual,Monday,Summer,95036
casual,Monday,Autumn,56250
casual,Monday,Winter,9359
casual,Tuesday,Spring,29622
casual,Tuesday,Summer,96038
casual,Tuesday,Autumn,45941
casual,Tuesday,Winter,8764
casual,Wednesday,Spring,24979
casual,Wednesday,Summer,100489
casual,Wednesday,Autumn,52102
casual,Wednesday,Winter,8711
casual,Thursday,Spring,31357
casual,Thursday,Summer,109714
casual,Thursday,Autumn,53317
casual,Thursday,Winter,9105
casual,Friday,Spring,46162
casual,Friday,Summer,128323
casual,Friday,Autumn,63850
casual,Friday,Winter,9008
casual,Saturday,Spring,56393
casual,Saturday,Summer,180451
casual,Saturday,Autumn,83815
casual,Saturday,Winter,9752
member,Sunday,Spring,50681
member,Sunday,Summer,123379
member,Sunday,Autumn,84558
member,Sunday,Winter,25880
member,Monday,Spring,78407
member,Monday,Summer,168571
member,Monday,Autumn,114371
member,Monday,Winter,44661
member,Tuesday,Spring,86514
member,Tuesday,Summer,183668
member,Tuesday,Autumn,119357
member,Tuesday,Winter,45590
member,Wednesday,Spring,77237
member,Wednesday,Summer,180680
member,Wednesday,Autumn,129014
member,Wednesday,Winter,42729
member,Thursday,Spring,85367
member,Thursday,Summer,176505
member,Thursday,Autumn,118810
member,Thursday,Winter,43788
member,Friday,Spring,81406
member,Friday,Summer,155143
member,Friday,Autumn,109753
member,Friday,Winter,37049
member,Saturday,Spring,67613
member,Saturday,Summer,142891
member,Saturday,Autumn,91276
member,Saturday,Winter,27255